Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Cadence,Max Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate
running,2017-02-16 07:14:16,false,"Glenview Running","5.38","510","44:07","165","177","0.0","167","178","8:12","4:40","28","28","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-02-14 07:17:12,false,"Glenview Running","4.47","398","35:17","165","172","0.0","169","178","7:54","6:06","30","30","1.20","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-02-08 07:29:14,false,"Glenview Running","0.58","62","4:47.8","--","--","0.0","164","172","8:20","4:31","--","--","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-02-02 07:20:26,false,"Glenview Running","5.23","559","41:34","--","--","0.0","166","182","7:57","4:20","28","28","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-01-31 07:06:14,false,"Glenview Running","5.35","572","42:58","--","--","0.0","165","174","8:02","3:41","25","27","1.21","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-01-28 13:24:55,false,"Glenview Running","5.18","549","42:47","--","--","0.0","163","184","8:15","4:22","25","23","1.20","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2017-01-15 11:54:35,false,"Glenview Nas Running","4.59","481","36:31","--","--","0.0","162","176","7:58","2:18","52","51","1.25","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-11-30 07:15:24,false,"Glenview Running","3.62","373","30:25","--","--","0.0","161","206","8:24","4:50","9","6","1.19","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-11-28 07:18:58,false,"Glenview Running","6.37","692","48:37","--","--","0.0","170","196","7:38","5:03","44","42","1.24","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-11-24 07:30:27,false,"Highland Park Running","2.94","317","21:06","--","--","0.0","177","196","7:10","5:22","35","32","1.27","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-11-21 07:15:56,false,"Glenview Running","5.29","571","40:52","--","--","0.0","170","196","7:43","4:56","22","29","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
running,2016-11-15 07:16:51,false,"Glenview Running","5.22","568","40:08","--","--","0.0","171","182","7:42","7:06","7","--","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--"
